"city";"street";"house";"floor"
"Березники";"Пушкинская улица";42;1
"Ачинск";"Сиреневая улица";176;2
"Боровичи";"Барыши, местечко";48;1
"Бор";"Нагорная улица";74;3
"Ангарск";"2-я Пионерская, улица";35;5
"Анжеро-Судженск";"Трудовая улица";76;3
"Белгород";"Сатинская аллея";10;2
"Артем";"Октябрьский проспект";116;2
"Александров";"Сиреневая улица";52;3
"Великий Новгород";"Андреевская улица";175;1
"Великий Новгород";"Московская улица";114;4
"Белебей";"3-я Вишнёвая улица";99;5
"Балашов";"Дошкольная улица";103;1
"Белогорск";"Набережная улица";157;3
"Архангельск";"Институтская улица";194;2
"Борисоглебск";"Лесная улица (поселок Щапово)";30;5
"Белорецк";"1-й Заречный переулок";164;2
"Белебей";"Прибрежная улица";69;1
"Боровичи";"Сосновая улица";45;1
"Буденновск";"Академическая площадь";125;3
"Боровичи";"3-я Лазурная улица";106;2
"Артем";"Кленовый переулок";52;3
"Апатиты";"Южный квартал";76;1
"Буйнакск";"Парковый переулок";97;3
"Абакан";"Прудная улица";44;3
"Александров";"Чапаева, улица";118;5
"Александров";"2-я Центральная улица";17;1
"Братск";"Звёздная улица";29;1
"Алексин";"Автомобильная дорога А-107";86;3
"Владивосток";"Остафьевское шоссе";108;4
"Артем";"2-я Центральная улица";60;4
"Благовещенск";"1-я Рыбацкая улица";43;4
"Анжеро-Судженск";"Барышевская Роща, улица";118;3
"Владивосток";"5-я Майская улица";28;2
"Березники";"Пушкинская улица";2;1
"Апатиты";"Физическая улица";197;4
"Великий Новгород";"Чайковского, улица";32;5
"Бийск";"3-я Пионерская улица";75;2
"Апатиты";"1-й Заречный переулок";123;1
"Ачинск";"Рождественский переулок";132;2
"Альметьевск";"Анны Воиновой, улица";116;2
"Артем";"Подольская улица";1;5
"Балашов";"Садовый квартал, улица";28;4
"Биробиджан";"Тимирязева, улица";149;3
"Белогорск";"Новостроевская улица";63;2
"Апатиты";"Мичурина, улица";103;1
"Бугульма";"Быковская улица";69;5
"Асбест";"Индустриальная улица";185;1
"Артем";"Академическая площадь";52;3
"Александров";"Мичурина, улица";166;1
"Белово";"Суворова, улица";145;5
"Альметьевск";"Флотская улица";55;3
"Альметьевск";"Сатинская аллея";187;4
"Верхняя Пышма";"Обводная Дорога, улица";75;2
"Белебей";"Юбилейная улица";20;5
"Березники";"Лагерная улица";10;1
"Астрахань";"Щербинский проезд";69;4
"Березовский";"Гоголя, улица";57;2
"Борисоглебск";"3-я Майская улица";14;1
"Владивосток";"Мирная улица";90;1
"Белгород";"Садовый квартал, улица";119;2
"Буденновск";"Железнодорожная улица";127;5
"Брянск";"Берёзовая улица (поселок Марьино)";106;2
"Алексин";"2-я Центральная улица";199;1
"Березовский";"Речная улица";180;2
"Владивосток";"Нижняя улица";3;5
"Артем";"Симферопольская улица";104;4
"Верхняя Пышма";"Индустриальная улица";110;5
"Братск";"Космонавтов, улица";70;5
"Арсеньев";"Восточная улица";6;1
"Березники";"Стасовой, улица";60;5
"Александров";"Живописная улица";91;2
"Боровичи";"Первомайская улица";173;5
"Бугульма";"Сатинская аллея";108;5
"Балашов";"Садовая улица";119;4
"Буденновск";"Берёзовая улица (поселок Марьино)";143;1
"Анапа";"Рождественский переулок";9;1
"Алексин";"Берёзовая улица (поселок Марьино)";52;1
"Артем";"1-й Терновый переулок";167;2
"Балахна";"Светлый бульвар";192;3
"Братск";"Щербинский проезд";155;2
"Ангарск";"Маяковского, улица";105;4
"Великие Луки";"Летняя улица";143;2
"Великие Луки";"Чапаева, улица";48;3
"Благовещенск";"Рождественский переулок";105;1
"Балашов";"Совхозная улица";88;3
"Бердск";"Прудная улица";185;1
"Алексин";"Лагерный переулок";125;5
"Борисоглебск";"Садовый квартал, улица";157;2
"Великие Луки";"Водопроводная улица";107;5
"Балашов";"Театральная улица";67;2
"Анжеро-Судженск";"Анны Воиновой, улица";186;5
"Бугульма";"4-я Вишнёвая улица";34;2
"Бугульма";"Тупик, улица";135;1
"Боровичи";"Зелёная улица";13;1
"Анжеро-Судженск";"Ломоносова, улица";43;1
"Арзамас";"1-я Катерная улица";174;4
"Буденновск";"Озёрная улица";29;3
"Анапа";"Барыши, местечко";128;1
"Архангельск";"Северная улица";129;2
"Анжеро-Судженск";"Дачная улица";19;3
"Белгород";"2-я Пионерская, улица";170;3
"Видное";"Подмосковные вечера, улица";31;1
"Буденновск";"Осенняя улица";45;4
"Видное";"Тупик, улица";118;3
"Верхняя Пышма";"2-я Катерная улица";83;1
"Анжеро-Судженск";"Индустриальная улица";13;1
"Биробиджан";"Кленовый переулок";60;2
"Бийск";"СНТ Волна, улица";148;3
"Ангарск";"Маяковского, улица";196;3
"Бийск";"Сосновая улица";71;5
"Анапа";"Мирная улица";172;1
"Брянск";"Советская улица";178;2
"Буденновск";"Почтовая улица";109;5
"Бийск";"Лесная улица (поселок Курилово)";162;1
"Биробиджан";"Почтовая улица";88;2
"Батайск";"1-я Катерная улица";148;1
"Астрахань";"Рабочая улица";185;4
"Буйнакск";"Летняя улица";190;3
"Бугульма";"Чайковского, улица";159;3
"Балаково";"Луговая улица";124;3
"Видное";"Кутузова, улица";119;2
"Анапа";"Вокзальная улица";169;2
"Бор";"Дошкольная улица";120;4
"Альметьевск";"Прудная улица";62;2
"Белгород";"Русинская Роща, улица";117;1
"Балаково";"Юбилейная улица";58;3
"Видное";"Пионерская улица";82;4
"Боровичи";"Родниковая улица";172;3
"Анжеро-Судженск";"Сосновая улица";35;2
"Березовский";"Школьная улица";15;3
"Балашов";"Восточная улица";16;4
"Бердск";"Тупик, улица";33;1
"Белогорск";"Колхозная улица";112;2
"Ангарск";"Фруктовая улица";111;5
"Арзамас";"1-й Богородский переулок";46;4
"Артем";"6-я Вишнёвая улица";72;4
"Верхняя Пышма";"Дорожная улица";89;4
"Биробиджан";"Лесная улица (поселок Щапово)";116;1
"Архангельск";"Академика Верещагина, площадь";29;5
"Артем";"Бутовский тупик";157;5
"Артем";"Озёрная улица";50;5
"Барнаул";"Песчаная улица";21;3
"Армавир";"Театральная улица";11;4
"Видное";"Рождественский переулок";97;2
"Балахна";"Новая улица";131;1
"Великие Луки";"СНТ Волна, улица";77;4
"Арзамас";"Русинская Роща, улица";185;2
"Благовещенск";"Остафьевская улица";6;4
"Балашов";"Лермонтова, улица";9;5
"Бузулук";"Первомайская улица";21;4
"Видное";"Центральная улица";43;4
"Бор";"Заозёрная улица";66;1
"Видное";"Дзержинского, улица";44;4
"Белгород";"Большая Октябрьская улица";29;3
"Борисоглебск";"4-я Майская улица";137;4
"Асбест";"2-я Научная улица";160;5
"Алексин";"Стасова, улица";73;3
"Великий Новгород";"Чапаева, улица";29;2
"Архангельск";"Промышленная улица";104;5
"Барнаул";"Кленовый переулок";109;5
"Белово";"Мичурина, улица";118;4
"Белово";"Индустриальная улица";114;1
"Ачинск";"4-й Богородский переулок";179;3
"Бийск";"3-я Барышевская улица";31;1
"Азов";"Авиаторов, улица";77;5
"Белореченск";"Подмосковные вечера, улица";48;2
"Буйнакск";"Горка, улица";129;3
"Альметьевск";"Богородская улица";75;3
"Александров";"Автомобильная дорога А-107";140;4
"Брянск";"Песчаная улица";21;5
"Анапа";"1-я Пионерская улица";47;1
"Арсеньев";"Прибрежная улица";9;5
"Биробиджан";"Озёрная улица";37;2
"Биробиджан";"Сатинская аллея";30;3
"Абакан";"Фруктовая улица";83;4
"Белово";"3-я Барышевская улица";107;1
"Ангарск";"Рабочая улица";170;5
"Березовский";"Чайковского, улица";179;5
"Анжеро-Судженск";"1-я Майская улица";18;1
"Балашиха";"Подмосковные вечера, улица";1;5
"Боровичи";"1-й Терновый переулок";2;5
"Белебей";"Железнодорожная улица";151;4
"Александров";"Июльская улица";155;3
"Арсеньев";"1-й Заречный переулок";89;5
"Верхняя Пышма";"Софийская улица";98;4
"Братск";"Овражная улица";164;3
"Белогорск";"Лесхозная улица";157;2
"Бузулук";"3-я Рыбацкая улица";49;1
"Асбест";"Институтская улица";92;3
"Видное";"Прудовая улица";109;3
"Бузулук";"7-я Вишнёвая улица";30;1
"Азов";"Богородская улица";135;1
"Брянск";"Дошкольная улица";39;4
"Астрахань";"3-я Лазурная улица";110;4
"Бугульма";"Партизанская улица";165;3
"Буденновск";"Трудовая улица";162;5
"Балашиха";"Сиреневая улица";156;2
"Арзамас";"4-я Вишнёвая улица";117;4
"Белово";"Берёзовая улица";14;4
"Балахна";"Светлая улица";178;3
"Верхняя Пышма";"1-я Рыбацкая улица";102;2
"Балашиха";"2-я Центральная улица";109;5
"Бугульма";"4-й Богородский переулок";35;4
"Видное";"1-я Барышевская улица";14;1
"Астрахань";"Дзержинского, улица";68;2
"Белореченск";"Анатолия Харлампиева, улица";168;4
"Видное";"Красноармейская улица";133;1
"Бийск";"Стасова, улица";52;2
"Асбест";"1-я Пионерская улица";87;1
"Брянск";"Новостроевская улица";38;3
"Братск";"Кирова, улица";160;2
"Арсеньев";"Садовый Квартал, улица";154;1
"Березовский";"Пушковых, улица";15;5
"Видное";"Барыши, местечко";91;3
"Балашиха";"Северная улица";7;5
"Благовещенск";"Рождественская улица";92;1
"Армавир";"Маршала Кутахова, улица";99;5
"Видное";"8-я Вишнёвая улица";134;3
"Бор";"3-й Богородский переулок";141;4
"Бердск";"Пионерская улица";175;5
"Анжеро-Судженск";"3-й Кленовый переулок";191;5
"Арзамас";"2-й Богородский переулок";40;1
"Бор";"Учительский переулок";82;2
"Верхняя Пышма";"Железнодорожная улица";197;4
"Балашов";"Южная улица";101;3
"Белгород";"Партизанская улица";169;2
"Анжеро-Судженск";"2-я Катерная улица";128;1
"Буденновск";"Комсомольский проезд";83;1
"Белогорск";"Заозёрная улица";80;5
"Бор";"Лесная улица (поселок Курилово)";117;3
"Арзамас";"Чапаева, улица";170;2
"Артем";"Суворова, улица";75;3
"Белорецк";"2-я Рыбацкая улица";183;4
"Борисоглебск";"Красноармейская улица";127;4
"Азов";"Светлый бульвар";144;3
"Биробиджан";"2-я Научная улица";146;1
"Асбест";"Чайковского, улица";50;1
"Владивосток";"Михаила Кондакова, улица";158;2
"Бердск";"Московская улица";185;5
"Верхняя Пышма";"Лесная улица";5;3
"Белгород";"Южный квартал";94;4
"Арсеньев";"1-й Богородский переулок";159;3
"Бузулук";"Кутузова, улица";64;3
"Бийск";"Летняя улица";77;1
"Белогорск";"Овражная улица";52;3
"Белгород";"Молодёжная улица";70;4
"Буйнакск";"Рождественская улица";136;1
"Балашиха";"Дорожная улица";30;5
"Балаково";"Светлая улица";175;4
"Апатиты";"Красноармейская улица";163;5
"Бердск";"Прудовая улица";187;5
"Березовский";"Овражная улица";10;2
"Братск";"Прудная улица";38;4
"Великие Луки";"Пушковых, улица";105;1
"Биробиджан";"Маршала Кутахова, улица";167;4
"Артем";"5-я Вишнёвая улица";31;2
"Абакан";"Ясная улица";57;3
"Ачинск";"1-й Богородский переулок";179;4
"Асбест";"Лесхозная улица";104;3
"Буденновск";"Сорок Лет Октября, улица";172;1
"Анжеро-Судженск";"Овражная улица";63;3
"Арсеньев";"Молодёжная улица";50;2
"Буденновск";"1-я Пионерская улица";38;3
"Великие Луки";"Авиационная улица";98;1
"Видное";"Первомайская улица";30;4
"Ачинск";"Ново-Западная улица";177;1
"Белгород";"Совхозная улица";7;4
"Бор";"Подмосковные вечера, улица";47;1
"Барнаул";"Почтовая улица";142;4
"Балашов";"Тупик, улица";54;4
"Батайск";"Толбухина, улица";41;3
"Арзамас";"3-й Богородский переулок";91;2
"Владивосток";"Тихая улица";168;5
"Альметьевск";"Песчаная улица";175;3
"Буйнакск";"Светлый бульвар";75;1
"Бугульма";"Лесхозная улица";63;4
"Балашов";"1-я Пионерская улица";82;2
"Барнаул";"Цветочная улица";112;4
"Азов";"Симферопольское шоссе";80;5
"Алексин";"Советская улица";54;1
"Белореченск";"Западная улица";87;3
"Биробиджан";"Школьная улица";170;3
"Асбест";"Героя России Чернышёва, улица";30;5
"Барнаул";"Симферопольская улица";36;3
"Азов";"4-й Кленовый переулок";164;2
"Апатиты";"Берёзовая улица (деревня Бурцево)";48;4
"Боровичи";"Московская улица";50;5
"Асбест";"Космонавтов, улица";18;5
"Артем";"2-я Катерная улица";41;2
"Абакан";"1-й Заречный переулок";137;1
"Анжеро-Судженск";"Пушковых, улица";167;2
"Верхняя Пышма";"Северная улица";15;3
"Благовещенск";"Пионерский проезд";149;3
"Александров";"Авиаторов, улица";40;2
"Белогорск";"Барышевская Роща, улица";177;5
"Абакан";"3-я Пионерская улица";173;4
"Борисоглебск";"Ново-Западная улица";182;3
"Братск";"Кутузова, улица";41;1
"Архангельск";"Пушкинская улица";5;5
"Брянск";"Берёзовая улица (поселок Марьино)";147;2
"Буйнакск";"Вокзальная улица";53;3
"Батайск";"Обводная Дорога, улица";159;2
"Братск";"Радужная улица";108;1
"Бийск";"3-я Рыбацкая улица";158;1
"Великий Новгород";"1-я Катерная улица";28;3
"Верхняя Пышма";"Суворова, улица";21;3
"Балаково";"Лесхозная улица";89;1
"Анапа";"Полковника милиции Курочкина, улица";170;3
"Бор";"Большая Октябрьская улица";189;4
"Белгород";"Барыши, местечко";21;4
"Белореченск";"Громова, улица";22;2
"Алексин";"Лагерная улица";73;4
"Алексин";"3-я Барышевская улица";98;1
"Верхняя Пышма";"Лермонтова, улица";23;3
"Батайск";"Анатолия Харлампиева, улица";105;3
"Бузулук";"Мичурина, улица";62;1
"Архангельск";"Лермонтова, улица";87;5
"Белебей";"1-я Пионерская улица";47;2
"Александров";"3-я Валуевская улица";151;4
"Балаково";"Теннисная улица";85;5
"Арсеньев";"3-я Вишнёвая улица";33;1
"Белорецк";"3-я Пионерская улица";93;3
"Буденновск";"1-я Мичуринская улица";198;2
"Абакан";"Дальняя улица";160;4
"Абакан";"Лермонтова, улица";53;3
"Арсеньев";"2-я Барышевская улица";97;1
"Балаково";"4-я Валуевская улица";88;4
"Брянск";"Софийская улица";11;1
"Белогорск";"Июльская улица";155;5
"Александров";"Партизанская улица";198;1
"Верхняя Пышма";"Южная улица";159;2
"Видное";"Киевское шоссе";154;3
"Армавир";"Полковника милиции Курочкина, улица";183;1
"Алексин";"Софийская улица";135;2
"Александров";"Железнодорожная улица";42;5
"Альметьевск";"Берёзовая улица (поселок Марьино)";69;1
"Архангельск";"Фабричная площадь";45;4
"Барнаул";"Пионерский проезд";5;2
"Великий Новгород";"3-я Майская улица";62;4
"Великий Новгород";"Дальняя улица";66;3
"Благовещенск";"Тихая улица";150;2
"Архангельск";"1-й Богородский переулок";136;4
"Апатиты";"Подольская улица";173;5
"Арзамас";"1-я Мичуринская улица";138;5
"Бугульма";"Комсомольская улица";101;2
"Владивосток";"Русинская Роща, улица";80;3
"Белогорск";"2-я Валуевская улица";10;1
"Асбест";"Генерала Максимчука, улица";89;1
"Братск";"Зелёная улица";63;1
"Барнаул";"Софийская улица";120;4
"Буденновск";"Зелёная улица";156;1
"Березовский";"Набережная улица";163;4
"Балаково";"Зелёная улица";148;5
"Березовский";"Изумрудная улица";9;4
"Батайск";"Железнодорожная улица";83;3
"Альметьевск";"Кооперативная улица";177;2
"Батайск";"Цветочная улица";109;1
"Брянск";"1-я Изумрудная улица";56;2
"Ачинск";"Кирова, улица";31;3
"Анжеро-Судженск";"Симферопольская улица";33;5
"Владивосток";"Рассветная улица";87;5
"Бугульма";"Колхозная улица";138;5
"Асбест";"Дорожная улица";109;1
"Балахна";"Мостотреста, улица";92;4
"Барнаул";"Южная улица";144;3
"Борисоглебск";"Дачная улица";33;4
"Белогорск";"Южный квартал";68;1
"Балаково";"Рассветная улица";172;2
"Буденновск";"Флотская улица";84;2
"Алексин";"Симферопольская улица";167;5
"Артем";"Садовый Квартал, улица";141;2
"Борисоглебск";"3-я Рыбацкая улица";146;5
"Белорецк";"Академическая площадь";153;5
"Белебей";"2-я Рыбацкая улица";162;5
"Апатиты";"3-я Майская улица";177;5
"Алексин";"Киевское шоссе";171;2
"Владивосток";"Центральная улица";66;5
"Батайск";"Капитанская улица";166;1
"Асбест";"1-я Валуевская улица";101;4
"Арсеньев";"2-я Лазурная улица";25;1
"Ачинск";"Пионерская улица";22;4
"Балашиха";"Быковская улица";175;3
"Владивосток";"6-й Кленовый переулок";179;5
"Балаково";"Чайковского, улица";171;5
"Бугульма";"Кооперативная улица";163;5
"Великий Новгород";"Стасова, улица";76;3
"Белгород";"Остафьевская улица";7;3
"Белогорск";"Кооперативная улица";166;4
"Армавир";"3-я Майская улица";199;1
"Апатиты";"Светлая улица";73;3
"Балахна";"5-я Вишнёвая улица";153;4
"Астрахань";"Ломоносова, улица";51;1
"Ачинск";"Институтская улица";80;2
"Белгород";"Щербинский проезд";91;4
"Верхняя Пышма";"Люблинская улица";39;4
"Арзамас";"3-й Богородский переулок";116;5
"Великий Новгород";"Большая Октябрьская улица";44;1
"Бийск";"Олега Кошевого, улица";33;2
"Апатиты";"Обводная Дорога, улица";193;1
"Артем";"3-я Вишнёвая улица";27;4
"Белорецк";"Генерала Трошева, улица";190;2
"Белгород";"Луговая улица";100;4
"Белебей";"1-я Рыбацкая улица";92;4
"Борисоглебск";"Лесхозная улица";112;2
"Благовещенск";"Текстильщиков, улица";61;2
"Барнаул";"Дальняя улица";100;2
"Братск";"Чехова, улица";181;4
"Апатиты";"Подольская улица";62;5
"Бугульма";"3-я Пионерская улица";49;4
"Артем";"Богородская улица";155;5
"Брянск";"4-я Вишнёвая улица";58;2
"Биробиджан";"Промышленная улица";72;4
"Великие Луки";"Пушкинская улица";109;5
"Боровичи";"Совхозная улица";98;3
"Арсеньев";"Лагерный переулок";145;1
"Анжеро-Судженск";"Сорок Лет Октября, улица";167;4
"Борисоглебск";"Красная улица";107;3
"Бердск";"СНТ Волна, улица";18;4
"Бор";"Русинская Роща, улица";90;3
"Видное";"Лермонтова, улица";116;4
"Алексин";"2-я Изумрудная улица";18;3
"Белореченск";"1-я Валуевская улица";119;3
"Бор";"СНТ Волна, улица";162;4
"Бердск";"Генерала Максимчука, улица";56;5
"Боровичи";"Дзержинского, улица";126;5
"Алексин";"Олега Кошевого, улица";199;3
"Балаково";"Тупик, улица";97;2
"Буйнакск";"Дзержинского, улица";124;4
"Барнаул";"2-й Богородский переулок";172;5
"Буйнакск";"СНТ Волна, улица";8;1
"Белгород";"Авиаторов, улица";94;2
"Владивосток";"Цветочная улица";19;1
"Артем";"Садовая улица";165;5
"Армавир";"Изумрудная улица";65;4
"Арзамас";"Южная улица";159;5
"Азов";"Лесная улица";47;5
"Арсеньев";"Бутовское Кольцо, улица";93;1
"Березовский";"Радужная улица";198;4
"Биробиджан";"2-я Научная улица";123;4
"Армавир";"Маяковского, улица";52;1
"Балашов";"2-я Мичуринская улица";13;4
"Балашиха";"Ясная улица";160;1
"Азов";"Солнечная улица";152;5
"Бугульма";"2-я Научная улица";174;1
"Буденновск";"Остафьевское шоссе";136;5
"Бор";"Пролетарская улица";136;2
"Боровичи";"Чкалова, улица";24;1
"Видное";"Парковый переулок";50;1
"Белебей";"Лесная улица";117;3
"Балашов";"Софийская улица";199;3
"Астрахань";"Берёзовая улица (поселок Марьино)";184;3
"Буйнакск";"Дальняя улица";59;2
"Бийск";"Дальняя улица";163;2
"Арзамас";"Комсомольская улица";30;2
"Армавир";"Рыбацкий переулок";114;3
"Балаково";"Вишнёвая улица";91;1
"Брянск";"Юбилейная улица";119;2
"Балашиха";"2-я Научная улица";158;3
"Буйнакск";"Садовая улица";37;4
"Великий Новгород";"2-я Валуевская улица";191;1
"Абакан";"Новостроевская улица";46;5
"Видное";"1-й Богородский переулок";86;3
"Балашов";"Герцена, улица";99;4
"Асбест";"Академика Верещагина, площадь";6;1
"Ачинск";"Мичурина, улица";69;3
"Балахна";"3-й Кленовый переулок";118;3
"Ачинск";"Южная улица";147;4
"Асбест";"Институтская улица";72;4
"Боровичи";"Подольская улица";81;3
"Балашов";"Сосновая улица";7;3
"Белореченск";"Радужная улица";136;3
"Азов";"Авиаторов, улица";127;1
"Архангельск";"Комсомольский переулок";78;1
"Березовский";"Озёрная улица";139;1
"Балаково";"Филимонковская улица";22;3
"Березники";"Генерала Максимчука, улица";33;3
"Белорецк";"Спортивная улица";126;4
"Анапа";"8-я Вишнёвая улица";184;5
"Балашиха";"Почтовая улица";148;4
"Белебей";"4-я Рыбацкая улица";179;5
"Белореченск";"Сорок Лет Октября, улица";57;4
"Александров";"Красноармейская улица";75;3
"Белебей";"Анны Воиновой, улица";46;5
"Белово";"Рассветная улица";52;3
"Анжеро-Судженск";"Театральная улица";71;1
"Армавир";"3-я Валуевская улица";50;1
"Арзамас";"Рождественский переулок";186;3
"Апатиты";"Прудовая улица";135;1
"Бийск";"Дорожная улица";196;2
"Белорецк";"Заречная улица";80;3
"Белореченск";"Пушковых, улица";81;2
"Белогорск";"4-я Майская улица";23;4
"Великий Новгород";"Изумрудная улица";187;1
"Белорецк";"2-й Богородский переулок";104;3
"Белебей";"Театральная улица";192;4
"Балаково";"Киевское шоссе";34;5
"Белогорск";"Светлая улица";99;1
"Боровичи";"Дачная улица";78;4
"Анапа";"Котовского, улица";88;3
"Астрахань";"Колобенка, улица";180;5
"Ангарск";"Пионерская улица";25;2
"Владивосток";"1-я Мичуринская улица";178;3
"Братск";"Новая улица";70;5
"Арсеньев";"Новостройка, улица";13;4
"Березовский";"Сиреневая улица";135;4
"Березники";"Щербинский проезд";21;2
"Балашов";"Почтовая улица";107;2
"Буйнакск";"Лесная улица (поселок Щапово)";58;3
"Арзамас";"1-я Пионерская улица";55;2
"Балахна";"Заречная улица";36;4
"Арзамас";"Сыровская улица";50;5
"Великий Новгород";"1-я Майская улица";100;2
"Белебей";"Южный квартал";85;2
"Буйнакск";"Физическая улица";50;1
"Великий Новгород";"Летняя улица";130;5
"Анапа";"Московский переулок";179;3
"Биробиджан";"Ягодная улица";99;1
"Бузулук";"Колобенка, улица";99;4
"Белорецк";"8-я Вишнёвая улица";114;5
"Бийск";"2-я Лазурная улица";193;3
"Абакан";"Молодёжная улица";194;4
"Биробиджан";"Берёзовая улица (деревня Бурцево)";127;2
"Балашов";"Цветочная улица";126;3
"Балахна";"7-я Вишнёвая улица";93;1
"Бор";"Громова, улица";37;3
"Белорецк";"Урожайная улица";120;2
"Боровичи";"Парковая улица";28;5
"Азов";"2-я Изумрудная улица";152;4
"Братск";"2-я Мичуринская улица";73;2
"Борисоглебск";"Тимирязева, улица";113;3
"Бузулук";"Берёзовая улица (деревня Бурцево)";144;4
"Балашиха";"Маршала Кутахова, улица";187;5
"Азов";"Октябрьский проспект";67;5
"Белово";"Остафьевское шоссе";109;4
"Владивосток";"Южный квартал";158;2
"Ангарск";"Лермонтова, улица";11;2
"Бердск";"2-я Пионерская, улица";149;1
"Великие Луки";"Лагерный переулок";192;4
"Бузулук";"Комсомольская улица";138;3
"Видное";"3-я Рыбацкая улица";91;2
"Благовещенск";"Летняя улица";13;1
"Борисоглебск";"Подольская улица";7;1
"Арзамас";"Чапаева, улица";134;4
"Ачинск";"Московский переулок";94;2
"Апатиты";"4-й Богородский переулок";170;3
"Белорецк";"Авиаторов, улица";55;4
"Великий Новгород";"Лесная улица (поселок Курилово)";111;5
"Буденновск";"Анны Воиновой, улица";74;3
"Алексин";"Рыбацкий переулок";139;4
"Великий Новгород";"Космонавтов, улица";135;1
